Species,Longitude,Latitude
P_rigida,-84,32
P_rigida,-83.1815,34.866
P_rigida,-83.148422,35.025345
P_rigida,-83.46666,35.03333
P_rigida,-83.19227,35.03572
P_rigida,-82.686455,35.050264
P_rigida,-83.42839,35.06036
P_rigida,-83.619912,35.083242
P_rigida,-82.698021,35.098835
P_rigida,-82.617017,35.124648
P_rigida,-76.00981,35.13
P_rigida,-83.036033,35.166539
P_rigida,-82.328889,35.248889
P_rigida,-82.827575,35.362355
P_rigida,-83.433995,35.465668
P_rigida,-83.489545,35.611764
P_rigida,-82.55651,35.63348
P_rigida,-83.430305,35.677903
P_rigida,-83.477295,35.678958
P_rigida,-82.19166,35.73555
P_rigida,-82.25,35.75
P_rigida,-81.38834,36.28472
P_rigida,-80.268587,36.396297
P_rigida,-80,37
P_rigida,-80.52526,37.37566
P_rigida,-80.2514,37.7633
P_rigida,-78.987822,37.977587
P_rigida,-81.078448,38.069966
P_rigida,-79.291111,38.420833
P_rigida,-78.465522,38.449495
P_rigida,-75.0558,38.4978
P_rigida,-75.0611,38.5925
P_rigida,-75.33954,38.683303
P_rigida,-77.1114,38.6917
P_rigida,-76.8481,38.6967
P_rigida,-77.0011,38.7611
P_rigida,-88.165278,38.776111
P_rigida,-77.8392,38.7922
P_rigida,-77.4661,38.7967
P_rigida,-77.11,38.8089
P_rigida,-82.999028,38.815019
P_rigida,-79.366113,38.836349
P_rigida,-77.7144,38.8561
P_rigida,-77.6864,38.8589
P_rigida,-78.327949,38.862425
P_rigida,-77.706104,38.863027
P_rigida,-77.7064,38.8664
P_rigida,-77.1708,38.8667
P_rigida,-77.7017,38.8725
P_rigida,-77.0306,38.8892
P_rigida,-76.9317,38.8894
P_rigida,-77.0367,38.895
P_rigida,-77.0575,38.8994
P_rigida,-76.9664,38.9103
P_rigida,-77.067017,38.921682
P_rigida,-74.96521,38.933243
P_rigida,-76.695494,38.942789
P_rigida,-78.31633,38.947127
P_rigida,-77.0456,38.9478
P_rigida,-77.0453,38.97
P_rigida,-79.253081,38.972704
P_rigida,-77.0078,38.9778
P_rigida,-76.898548,38.98196
P_rigida,-79.366667,38.983333
P_rigida,-77.005,38.9867
P_rigida,-80,39
P_rigida,-76.935992,39.002786
P_rigida,-76.762792,39.027875
P_rigida,-76.798782,39.042951
P_rigida,-76.968903,39.043311
P_rigida,-81.85564,39.04947
P_rigida,-76.878045,39.068458
P_rigida,-76.5225,39.0736
P_rigida,-76.7378,39.0845
P_rigida,-76.801602,39.08502
P_rigida,-76.4852,39.0893
P_rigida,-76.809626,39.111993
P_rigida,-76.482403,39.164875
P_rigida,-76.757451,39.170962
P_rigida,-76.959818,39.177045
P_rigida,-76.719278,39.191969
P_rigida,-76.6961,39.2153
P_rigida,-77.3908,39.2625
P_rigida,-74.511048,39.320185
P_rigida,-78.497392,39.337578
P_rigida,-74.524042,39.389839
P_rigida,-75.7,39.4
P_rigida,-74.667157,39.442382
P_rigida,-74.503285,39.514953
P_rigida,-82.669947,39.523973
P_rigida,-74.647778,39.528611
P_rigida,-74.407335,39.618999
P_rigida,-79.815534,39.636625
P_rigida,-74.346134,39.655335
P_rigida,-74.65798,39.656355
P_rigida,-77.4239,39.6619
P_rigida,-74.4603,39.6733
P_rigida,-74.325,39.675
P_rigida,-74.4,39.7
P_rigida,-74.230282,39.700197
P_rigida,-74.389973,39.700395
P_rigida,-74.79777,39.71611
P_rigida,-76.076859,39.726652
P_rigida,-76.080478,39.732025
P_rigida,-78.341958,39.732812
P_rigida,-76.039814,39.736677
P_rigida,-75.94669,39.737177
P_rigida,-74.727556,39.739222
P_rigida,-74.37,39.75
P_rigida,-74.466667,39.75
P_rigida,-74.272034,39.752846
P_rigida,-74.104702,39.761051
P_rigida,-74.215279,39.771632
P_rigida,-74.276195,39.785895
P_rigida,-79.178147,39.786091
P_rigida,-74.275497,39.79297
P_rigida,-74.545664,39.80729
P_rigida,-74.535,39.8175
P_rigida,-74.521658,39.872858
P_rigida,-74.556819,39.893
P_rigida,-74.215064,39.904317
P_rigida,-74.592362,39.919617
P_rigida,-74.62,39.92
P_rigida,-77.941242,39.92017
P_rigida,-74.214427,39.929003
P_rigida,-77.448708,39.935988
P_rigida,-74.495113,39.950644
P_rigida,-74.19833,39.95361
P_rigida,-74.476928,39.963731
P_rigida,-75.6,39.97
P_rigida,-74.125893,39.984897
P_rigida,-77.372986,40.005154
P_rigida,-78.191195,40.029337
P_rigida,-74.439667,40.055242
P_rigida,-74.155915,40.076815
P_rigida,-78.340438,40.07706
P_rigida,-74.5,40.08
P_rigida,-74.434976,40.10738
P_rigida,-74.755161,40.11761
P_rigida,-74.109936,40.143599
P_rigida,-75.514047,40.186767
P_rigida,-74.050972,40.296222
P_rigida,-74.9375,40.34583
P_rigida,-74.560862,40.3506
P_rigida,-74.251329,40.36202
P_rigida,-74.340701,40.377049
P_rigida,-74.333324,40.37769
P_rigida,-74.338796,40.379627
P_rigida,-74.427683,40.382874
