"","x"
"1",1
"2",1
"3",3
"4",1
"5",3
"6",3
"7",4
"8",3
"9",3
"10",2
"11",1
"12",4
"13",2
"14",3
"15",3
"16",3
"17",4
"18",3
"19",3
"20",1
"21",4
"22",3
"23",1
"24",3
"25",1
"26",1
"27",4
"28",1
"29",1
"30",3
"31",4
"32",1
"33",3
"34",3
"35",1
"36",1
"37",1
"38",3
"39",4
"40",4
"41",3
"42",3
"43",4
"44",4
"45",3
"46",1
"47",2
"48",1
"49",4
"50",3
"51",3
"52",3
"53",3
"54",1
"55",1
"56",3
"57",1
"58",2
"59",3
"60",1
"61",2
"62",1
"63",4
"64",3
"65",2
"66",3
"67",3
"68",3
"69",3
"70",2
"71",3
"72",4
"73",1
"74",3
"75",1
"76",4
"77",3
"78",4
"79",4
"80",4
"81",3
"82",3
"83",1
"84",4
"85",3
"86",1
"87",3
"88",1
"89",3
"90",3
"91",3
"92",1
"93",1
"94",3
"95",4
"96",2
"97",1
"98",3
"99",4
"100",2
"101",1
"102",3
"103",4
"104",3
"105",3
"106",3
"107",4
"108",4
"109",1
"110",4
"111",1
"112",1
"113",3
"114",3
"115",3
"116",4
"117",3
"118",4
"119",2
"120",4
"121",3
"122",3
"123",4
"124",4
"125",4
"126",1
"127",3
"128",1
"129",1
"130",1
"131",1
"132",4
"133",1
"134",1
"135",4
"136",4
"137",3
"138",2
"139",3
"140",3
"141",2
"142",4
"143",4
"144",3
"145",4
"146",1
"147",4
"148",3
"149",2
"150",1
"151",4
"152",3
"153",1
"154",2
"155",3
"156",4
"157",3
"158",3
"159",2
"160",1
"161",4
"162",3
"163",4
"164",2
"165",2
"166",4
"167",1
"168",1
"169",1
"170",2
"171",3
"172",3
"173",4
"174",3
"175",4
"176",4
"177",3
"178",2
"179",1
"180",4
"181",4
"182",2
"183",3
"184",1
"185",1
"186",1
"187",3
"188",3
"189",1
"190",3
"191",3
"192",3
"193",1
"194",1
"195",3
"196",1
"197",1
"198",1
"199",3
"200",1
"201",3
"202",3
"203",2
"204",4
"205",3
"206",4
"207",4
"208",3
"209",4
"210",3
"211",3
"212",1
"213",3
"214",1
"215",3
"216",1
"217",1
"218",2
"219",2
"220",4
"221",1
"222",3
"223",4
"224",3
"225",1
"226",3
"227",1
"228",4
"229",3
"230",3
"231",2
"232",1
"233",4
"234",4
"235",3
"236",2
"237",2
"238",3
"239",4
"240",3
"241",2
"242",4
"243",3
"244",1
"245",3
"246",1
"247",4
"248",4
"249",1
"250",2
"251",4
"252",4
"253",1
"254",3
"255",3
"256",1
"257",3
"258",4
"259",3
"260",3
"261",2
"262",3
"263",3
"264",3
"265",1
"266",1
"267",2
"268",4
"269",1
"270",1
"271",3
"272",1
"273",1
"274",3
"275",4
"276",4
"277",4
"278",1
"279",3
"280",4
"281",3
"282",3
"283",3
"284",4
"285",3
"286",3
"287",2
"288",1
"289",3
"290",3
"291",1
"292",4
"293",1
"294",4
"295",1
"296",4
"297",4
"298",1
"299",3
"300",3
"301",3
"302",2
"303",4
"304",3
"305",4
"306",2
"307",3
"308",1
"309",2
"310",3
"311",1
"312",3
"313",4
"314",4
"315",1
"316",3
"317",1
"318",3
"319",1
"320",4
"321",2
"322",1
"323",4
"324",4
"325",2
"326",3
"327",3
"328",3
"329",2
"330",1
"331",2
"332",4
"333",4
"334",1
"335",3
"336",2
"337",4
"338",1
"339",3
"340",1
"341",3
"342",2
"343",3
"344",4
"345",2
"346",3
"347",4
"348",3
"349",2
"350",2
"351",3
"352",4
"353",3
"354",1
"355",2
"356",4
"357",4
"358",1
"359",2
"360",3
"361",3
"362",1
"363",4
"364",3
"365",4
"366",3
"367",3
"368",1
"369",3
"370",2
"371",4
"372",1
"373",3
"374",3
"375",3
"376",3
"377",2
"378",4
"379",1
"380",1
"381",4
"382",2
"383",1
"384",3
"385",3
"386",3
"387",1
"388",1
"389",3
"390",4
"391",4
"392",4
"393",3
"394",3
"395",1
"396",2
"397",1
"398",2
"399",2
"400",3
"401",3
"402",2
"403",3
"404",3
"405",1
"406",1
"407",3
"408",1
"409",1
"410",1
"411",1
"412",4
"413",1
"414",2
"415",2
"416",4
"417",2
"418",1
"419",4
"420",3
"421",2
"422",3
"423",3
"424",3
"425",3
"426",4
"427",1
"428",4
"429",4
"430",3
"431",2
"432",1
"433",3
"434",4
"435",4
"436",3
"437",4
"438",2
"439",4
"440",3
"441",1
"442",4
"443",4
"444",2
"445",4
"446",4
"447",4
"448",4
"449",1
"450",3
"451",2
"452",1
"453",2
"454",3
"455",1
"456",1
"457",3
"458",2
"459",4
"460",1
"461",3
"462",3
"463",2
"464",4
"465",1
"466",4
"467",2
"468",3
"469",4
"470",1
"471",2
"472",3
"473",3
"474",2
"475",3
"476",2
"477",2
"478",3
"479",3
"480",3
"481",1
