"","x"
"1",3
"2",3
"3",1
"4",1
"5",3
"6",3
"7",3
"8",3
"9",1
"10",1
"11",1
"12",3
"13",3
"14",3
"15",1
"16",3
"17",4
"18",3
"19",3
"20",1
"21",3
"22",3
"23",3
"24",1
"25",1
"26",4
"27",3
"28",1
"29",3
"30",1
"31",1
"32",3
"33",1
"34",1
"35",3
"36",4
"37",3
"38",1
"39",3
"40",1
"41",1
"42",3
"43",3
"44",1
"45",3
"46",4
"47",1
"48",3
"49",4
"50",3
"51",3
"52",3
"53",1
"54",3
"55",3
"56",1
"57",4
"58",3
"59",1
"60",4
"61",1
"62",3
"63",1
"64",3
"65",4
"66",3
"67",1
"68",1
"69",2
"70",1
"71",3
"72",1
"73",1
"74",3
"75",4
"76",1
"77",3
"78",1
"79",1
"80",1
"81",3
"82",3
"83",3
"84",1
"85",1
"86",3
"87",3
"88",3
"89",3
"90",1
"91",4
"92",3
"93",1
"94",3
"95",3
"96",1
"97",4
"98",1
"99",1
"100",1
"101",3
"102",1
"103",3
"104",1
"105",3
"106",3
"107",3
"108",1
"109",4
"110",1
"111",3
"112",4
"113",1
"114",3
"115",3
"116",3
"117",1
"118",3
"119",3
"120",3
"121",4
"122",4
"123",3
"124",4
"125",3
"126",3
"127",1
"128",1
"129",3
"130",4
"131",2
"132",1
"133",3
"134",2
"135",4
"136",4
"137",1
"138",3
"139",1
"140",1
"141",4
"142",4
"143",2
"144",1
"145",3
"146",1
"147",2
"148",1
"149",1
"150",4
"151",1
"152",1
"153",1
"154",3
"155",3
"156",3
"157",3
"158",3
"159",3
"160",1
"161",1
"162",1
"163",1
"164",3
"165",3
"166",2
"167",3
"168",3
"169",3
"170",3
"171",3
"172",3
"173",4
"174",3
"175",1
"176",3
"177",1
"178",3
"179",1
"180",1
"181",3
"182",1
"183",1
"184",4
"185",3
"186",3
"187",1
"188",1
"189",1
"190",3
"191",4
"192",1
"193",3
"194",4
"195",3
"196",3
"197",1
"198",4
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",3
"206",1
"207",1
"208",2
"209",3
"210",3
"211",4
"212",3
"213",3
"214",1
"215",3
"216",3
"217",3
"218",1
"219",1
"220",1
"221",4
"222",3
"223",4
"224",1
"225",3
"226",1
"227",1
"228",3
"229",3
"230",1
"231",1
"232",3
"233",1
"234",3
"235",3
"236",1
"237",3
"238",3
"239",3
"240",3
"241",1
"242",4
"243",3
"244",3
"245",4
"246",1
"247",3
"248",3
"249",4
"250",4
"251",3
"252",3
"253",1
"254",3
"255",1
"256",1
"257",1
"258",3
"259",3
"260",2
"261",3
"262",3
"263",4
"264",3
"265",4
"266",3
"267",3
"268",1
"269",3
"270",1
"271",3
"272",3
"273",4
"274",1
"275",1
"276",3
"277",3
"278",1
"279",3
"280",1
"281",1
"282",4
"283",3
"284",1
"285",1
"286",1
"287",1
"288",3
"289",1
"290",3
"291",3
"292",1
"293",3
"294",2
"295",1
"296",1
"297",1
"298",4
"299",1
"300",3
"301",3
"302",1
"303",4
"304",4
"305",1
"306",1
"307",1
"308",4
"309",3
"310",4
"311",3
"312",3
"313",1
"314",1
"315",3
"316",3
"317",3
"318",1
"319",3
"320",1
"321",1
"322",3
"323",3
"324",3
"325",3
"326",1
"327",3
"328",1
"329",3
"330",1
"331",3
"332",1
"333",1
"334",4
"335",1
"336",3
"337",3
"338",4
"339",3
"340",1
"341",1
"342",3
"343",3
"344",1
"345",1
"346",3
"347",4
"348",3
"349",1
"350",4
"351",1
"352",4
"353",1
"354",3
"355",3
"356",3
"357",3
"358",1
"359",3
"360",3
"361",3
"362",3
"363",1
"364",1
"365",3
"366",2
"367",3
"368",3
"369",3
"370",1
"371",3
"372",1
"373",1
"374",3
"375",1
"376",1
"377",1
"378",2
"379",4
"380",3
"381",1
"382",3
"383",3
"384",1
"385",1
"386",3
"387",3
"388",3
"389",3
"390",3
"391",4
"392",3
"393",4
"394",3
"395",3
"396",3
"397",1
"398",3
"399",1
"400",1
"401",4
"402",1
"403",1
"404",3
"405",3
"406",1
"407",1
"408",1
"409",3
"410",1
"411",1
"412",3
"413",1
"414",3
"415",3
"416",3
"417",3
"418",3
"419",2
"420",4
"421",1
"422",3
"423",4
"424",3
"425",3
"426",3
"427",3
"428",3
"429",1
"430",3
"431",3
"432",3
"433",3
"434",1
"435",1
"436",3
"437",1
"438",3
"439",3
"440",1
"441",3
"442",1
"443",3
"444",1
"445",3
"446",3
"447",2
"448",1
"449",4
"450",1
"451",1
"452",1
"453",3
"454",3
"455",1
"456",1
"457",1
"458",4
"459",3
"460",4
"461",1
"462",1
"463",3
"464",1
"465",1
"466",1
"467",3
"468",4
"469",3
"470",1
"471",1
"472",1
"473",2
"474",3
"475",3
"476",3
"477",1
"478",1
"479",1
"480",3
"481",1
"482",3
"483",3
"484",1
"485",4
"486",4
"487",3
"488",1
"489",3
"490",3
"491",1
"492",3
