"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",2
"24",2
"25",2
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",2
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",2
"53",2
"54",2
"55",1
"56",2
"57",2
"58",1
"59",2
"60",1
"61",2
"62",1
"63",1
"64",1
"65",2
"66",2
"67",2
"68",1
"69",2
"70",2
"71",2
"72",1
"73",1
"74",2
"75",2
"76",2
"77",1
"78",1
"79",2
"80",1
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",1
"110",2
"111",1
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",1
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",1
"127",3
"128",3
"129",3
"130",3
"131",3
"132",4
"133",4
"134",3
"135",3
"136",3
"137",4
"138",3
"139",3
"140",3
"141",3
"142",4
"143",3
"144",4
"145",3
"146",4
"147",3
"148",3
"149",3
"150",4
"151",4
"152",4
"153",3
"154",3
"155",4
"156",4
"157",4
"158",4
"159",3
"160",4
"161",3
"162",3
"163",4
"164",3
"165",4
"166",3
"167",3
"168",4
"169",4
"170",4
"171",4
"172",4
"173",3
"174",3
"175",4
"176",3
"177",4
"178",4
"179",3
"180",3
"181",4
"182",4
"183",3
"184",3
"185",4
"186",4
"187",3
"188",4
"189",4
"190",3
"191",3
"192",3
"193",3
"194",3
"195",4
"196",4
"197",4
"198",3
"199",3
"200",4
"201",4
"202",3
"203",4
"204",3
"205",4
"206",4
"207",3
"208",3
"209",3
"210",3
"211",3
"212",4
"213",3
"214",3
"215",3
"216",4
"217",4
"218",4
"219",3
"220",3
"221",4
"222",4
"223",4
"224",4
"225",4
"226",3
"227",3
"228",4
"229",4
"230",4
"231",3
"232",4
"233",4
"234",4
"235",4
"236",3
"237",4
"238",4
"239",3
"240",4
"241",4
"242",4
"243",4
"244",3
"245",4
"246",3
"247",4
"248",3
"249",3
"250",4
"251",3
"252",3
